# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769313486e+308 0 408049 422164 156566 422164
-0.994707939213 -11376.7637637 0.473431828153 387977 422705 186517 497044
-1.980979295 -1374.61035511 0.601198661722 371606 422827 188434 526299
-2.99993660932 -448.556592364 0.331836504778 351301 423069 189836 531511
-4.02065418331 -170.625795834 0.249670958862 343134 423639 194729 533518
-5.02620325194 -117.967256169 0.41080003873 331359 423833 200900 536258
-6.01333043521 -106.660729086 0.154911833338 312024 423980 198811 540767
-7.01377883964 -103.529425913 0.419179423115 288728 424147 199060 541065
-8.01373152528 -102.219482179 0.608459654931 263391 424141 196463 541053
-9.02294287045 -101.339954845 0.722910018201 243316 424489 193219 538500
-10.0405169408 -100.100748555 0.705336612257 238371 424579 207462 538916
-11.0082262851 -98.4453791435 0.431045119311 235557 424383 215577 546607
-11.9583468591 -96.2360661958 0.0725305914573 230811 424015 199440 551911
-12.9710339093 -93.3699981215 0.178074874045 225041 423764 194076 542219
-13.9903698947 -90.3715730234 0.369006701803 218558 423716 200557 538904
-14.9821852945 -87.6396109943 0.94581230918 212192 423072 201911 540457
-15.9712591943 -85.1634159552 0.327849811061 208264 423464 211142 542993
-16.931679189 -83.096882525 0.756297633058 204573 423723 220646 548725
-17.8676697111 -81.3915117562 0.266253222993 201897 423648 208787 554344
-18.8508470268 -79.7815019457 0.934516456058 199067 423664 204618 549098
-19.8416858647 -78.3574832819 0.492166214187 197143 423895 198616 545785
-20.8493716875 -77.1101824983 0.333173976063 193980 424190 200907 541677
-21.8435803803 -76.1016610379 0.316788706112 190747 424169 183133 542285
-22.9034083064 -75.2229992776 0.80035617441 185501 423881 196999 536121
-23.9042276178 -74.6051763107 0.3143362839 179249 423172 204579 556618
-24.9048874175 -74.1209731361 0.986747780895 174011 423265 217310 569398
-25.8783674022 -73.7386948365 0.166206692598 170380 423533 216105 580899
-26.8702768457 -73.4184927095 0.407524401234 165821 422943 233152 595012
-27.824014518 -73.1783067267 0.562888404544 161709 422486 226466 605197
-28.8115426941 -72.9703913925 0.746988631321 157380 422303 232778 605781
-29.7795361416 -72.8110008668 0.926086469059 155143 421856 242372 605838
-30.7175993503 -72.6821306651 0.0496613485113 151804 420828 215950 603611
-31.7378683001 -72.5636867991 0.864315385076 148050 420279 177240 589935
-32.8805077284 -72.4576109042 0.884171157486 143882 419690 182759 575767
-33.9845336874 -72.3791879429 0.564109536911 140952 420196 168750 571272
-35.1372293517 -72.3128611044 0.509295433344 139259 419873 173622 556922
-36.2524833681 -72.2621173957 0.147231388906 136108 419390 184819 561429
-37.3306669876 -72.2265325827 0.905120170896 132015 419322 186214 572526
-38.4176777264 -72.1998765442 0.346637867759 129365 419700 181167 574267
-39.5258506826 -72.1789355273 0.0639908098941 127948 420395 192042 569915
-40.5881008146 -72.1633641973 0.568809143311 127927 421394 0 0
