#  gamma_0, K, T, phi, ecc, omega, sigma_0, 
# 
-6.409099999999999397e+01 9.570740000000000691e+01 3.880830000000000268e+02 2.411300000000000221e+00 3.096289999999999876e-01 6.088770000000000016e-01 9.534879999999999356e+00
-6.611620000000000275e+00 8.902370000000000516e+01 1.891140000000000043e+02 1.417759999999999909e+00 2.348669999999999924e-01 3.337959999999999816e+00 1.093570000000000064e+01
8.525500000000000300e-01 9.632550000000000523e+01 1.868079999999999927e+02 1.169340000000000046e+00 3.489929999999999977e-01 3.257190000000000030e+00 1.442040000000000077e+01
-5.258769999999999811e+01 8.668059999999999832e+01 3.832189999999999941e+02 2.000370000000000203e+00 3.958220000000000072e-01 9.372810000000000308e-01 1.594589999999999996e+01
-4.997830000000000439e+00 9.668789999999999907e+01 1.867940000000000111e+02 1.070859999999999923e+00 2.876110000000000055e-01 3.329530000000000101e+00 1.240460000000000029e+01
9.551039999999999530e-01 9.351189999999999714e+01 1.876579999999999870e+02 1.459049999999999958e+00 3.467029999999999834e-01 3.167990000000000084e+00 1.520459999999999923e+01
-3.037039999999999740e-01 8.929430000000000689e+01 1.851730000000000018e+02 9.662410000000000165e-01 2.226499999999999868e-01 2.985970000000000013e+00 7.873039999999999594e+00
-5.259239999999999782e+01 9.593380000000000507e+01 3.822509999999999764e+02 2.183559999999999945e+00 2.530839999999999756e-01 7.553940000000000099e-01 1.629629999999999868e+01
-5.923930000000000007e+01 9.140500000000000114e+01 3.905260000000000105e+02 2.323789999999999800e+00 3.961910000000000154e-01 1.014329999999999954e+00 1.391029999999999944e+01
-6.847139999999999560e+00 9.141259999999999764e+01 1.879000000000000057e+02 1.220869999999999900e+00 2.672289999999999943e-01 3.440150000000000041e+00 6.724459999999999660e+00
5.493030000000000079e+00 9.913890000000000668e+01 1.844670000000000130e+02 4.484580000000000233e-01 5.128949999999999898e-01 3.643130000000000202e+00 1.963919999999999888e+01
-5.031060000000000088e+01 9.867650000000000432e+01 3.780439999999999827e+02 1.651140000000000052e+00 3.032210000000000183e-01 1.068629999999999969e+00 5.099599999999999689e-01
1.581550000000000011e+00 9.662099999999999511e+01 1.887630000000000052e+02 1.263900000000000023e+00 3.607600000000000251e-01 3.591600000000000126e+00 1.281060000000000088e+01
-3.508800000000000097e+01 8.918770000000000664e+01 3.822420000000000186e+02 1.655589999999999895e+00 2.875539999999999763e-01 1.530839999999999979e+00 9.325340000000000629e+00
-5.479019999999999868e+01 9.772360000000000468e+01 3.775529999999999973e+02 1.584589999999999943e+00 3.091180000000000039e-01 1.082799999999999985e+00 5.208490000000000286e+00
-9.398849999999999483e+00 9.506499999999999773e+01 1.874879999999999995e+02 1.338540000000000063e+00 2.393230000000000079e-01 3.028189999999999937e+00 1.618909999999999982e+01
7.614819999999999922e+00 9.947410000000000707e+01 1.880060000000000002e+02 1.236050000000000093e+00 4.669809999999999794e-01 3.558349999999999902e+00 1.423380000000000045e+01
-1.644109999999999872e+01 9.247690000000000055e+01 1.920620000000000118e+02 2.104989999999999917e+00 1.350290000000000101e-01 3.237260000000000026e+00 3.258529999999999760e-02
-3.037039999999999740e-01 8.929430000000000689e+01 1.851730000000000018e+02 9.662410000000000165e-01 2.226499999999999868e-01 2.985970000000000013e+00 7.873039999999999594e+00
-2.273219999999999796e+00 9.456789999999999452e+01 1.869569999999999936e+02 8.622330000000000272e-01 4.004099999999999882e-01 3.598399999999999821e+00 1.684349999999999881e+01
-1.614989999999999881e+01 9.851019999999999754e+01 1.916620000000000061e+02 1.478720000000000034e+00 6.565600000000000602e-02 3.826439999999999841e+00 1.602809999999999846e+01
-3.164580000000000126e+01 9.961220000000000141e+01 3.702239999999999895e+02 8.319739999999999913e-01 3.483970000000000122e-01 1.740629999999999900e+00 9.021160000000000068e+00
-1.672070000000000078e+01 9.757129999999999370e+01 1.912460000000000093e+02 1.835090000000000110e+00 2.533560000000000256e-01 3.439649999999999874e+00 1.379659999999999975e+01
-4.886070000000000135e+01 9.027450000000000330e+01 3.803360000000000127e+02 1.941740000000000022e+00 2.969140000000000112e-01 9.353200000000000403e-01 1.486069999999999958e+01
-1.457249999999999979e+01 8.950620000000000687e+01 1.902560000000000002e+02 2.481009999999999938e+00 1.360000000000000098e-01 2.463249999999999940e+00 4.452400000000000108e-02
-7.042729999999999713e+00 9.578209999999999980e+01 1.928979999999999961e+02 1.965950000000000086e+00 2.565439999999999943e-01 3.619660000000000100e+00 1.967510000000000048e+01
-8.110839999999999606e+00 9.921160000000000423e+01 1.894780000000000086e+02 1.427359999999999962e+00 4.053640000000000021e-01 3.610790000000000166e+00 1.422789999999999999e+01
-1.078539999999999921e+01 9.689409999999999457e+01 1.901560000000000059e+02 1.648570000000000091e+00 2.550410000000000177e-01 3.354060000000000041e+00 8.919430000000000192e+00
-8.570619999999999905e+00 9.544700000000000273e+01 1.891670000000000016e+02 1.404619999999999980e+00 2.448740000000000083e-01 3.512729999999999908e+00 5.492799999999999905e+00
-2.322799999999999976e+00 8.436629999999999541e+01 1.890420000000000016e+02 1.802969999999999962e+00 2.686450000000000227e-01 3.066949999999999843e+00 1.840390000000000015e+01
-5.904630000000000223e+01 9.990340000000000487e+01 3.814499999999999886e+02 1.857720000000000038e+00 3.861499999999999932e-01 9.826009999999999467e-01 7.464699999999999669e+00
-2.942680000000000184e+00 9.642690000000000339e+01 1.906579999999999870e+02 1.719799999999999995e+00 3.593520000000000048e-01 3.451229999999999798e+00 8.872999999999999332e+00
-1.795210000000000150e+01 9.919939999999999714e+01 1.927009999999999934e+02 2.048989999999999867e+00 2.041459999999999941e-01 3.316450000000000120e+00 1.525500000000000078e+01
-2.322799999999999976e+00 8.436629999999999541e+01 1.890420000000000016e+02 1.802969999999999962e+00 2.686450000000000227e-01 3.066949999999999843e+00 1.840390000000000015e+01
-8.098499999999999588e-01 9.544620000000000459e+01 1.852059999999999889e+02 8.468769999999999909e-01 3.823139999999999872e-01 3.260489999999999888e+00 1.467680000000000007e+01
-5.068319999999999936e+01 9.375549999999999784e+01 3.832350000000000136e+02 1.914490000000000025e+00 3.000490000000000101e-01 1.116090000000000027e+00 3.491750000000000131e+00
-1.672070000000000078e+01 9.757129999999999370e+01 1.912460000000000093e+02 1.835090000000000110e+00 2.533560000000000256e-01 3.439649999999999874e+00 1.379659999999999975e+01
-4.447460000000000235e+01 9.585739999999999839e+01 3.774719999999999800e+02 1.502950000000000008e+00 3.010599999999999943e-01 1.310259999999999980e+00 6.889100000000000001e+00
-4.026180000000000092e+00 8.958549999999999613e+01 1.865480000000000018e+02 1.148190000000000044e+00 2.410569999999999935e-01 3.142549999999999955e+00 2.291479999999999961e+00
-2.412399999999999878e+01 9.564310000000000400e+01 1.925500000000000114e+02 2.246989999999999821e+00 1.441719999999999946e-01 3.120699999999999807e+00 1.156719999999999970e+01
-5.924970000000000070e+00 9.303180000000000405e+01 1.898810000000000002e+02 1.634910000000000085e+00 2.330409999999999981e-01 3.375129999999999963e+00 4.332099999999999618e+00
