#  gamma_0, K_0, T_0, phi_0, ecc_0, omega_0, K_1, T_1, phi_1, ecc_1, omega_1, sigma_0, 
# 
3.249580000000000268e+01 9.908249999999999602e+01 5.162800000000000011e+01 4.485649999999999693e+00 6.060900000000000176e-01 3.010250000000000092e+00 8.425780000000000314e+01 1.955619999999999891e+03 2.644109999999999960e+00 5.139099999999999779e-01 4.439140000000000086e+00 1.176939999999999920e+01
3.920439999999999969e+01 9.971710000000000207e+01 5.167269999999999897e+01 5.271810000000000329e+00 6.130900000000000238e-01 3.027350000000000207e+00 8.832859999999999445e+01 1.368859999999999900e+03 4.232140000000000235e+00 3.668790000000000107e-01 4.083420000000000272e+00 9.775449999999999307e+00
4.663389999999999702e+01 9.963819999999999766e+01 5.159810000000000230e+01 1.358020000000000005e+00 6.080560000000000409e-01 3.080700000000000216e+00 9.056350000000000477e+01 1.177509999999999991e+03 2.781880000000000130e+00 3.770680000000000143e-01 3.762399999999999967e+00 1.010810000000000031e+01
2.202299999999999969e+01 9.926439999999999486e+01 5.160750000000000171e+01 5.534440000000000026e+00 6.045589999999999575e-01 3.103860000000000063e+00 9.843229999999999791e+01 1.698450000000000045e+03 3.015950000000000131e+00 3.329070000000000085e-01 4.362250000000000405e+00 9.450760000000000716e+00
1.238870000000000005e+01 9.964350000000000307e+01 5.164569999999999794e+01 4.356010000000000160e-01 6.350660000000000194e-01 2.986759999999999859e+00 9.146080000000000609e+01 3.102960000000000036e+03 1.879939999999999944e+00 5.938830000000000497e-01 4.802319999999999922e+00 8.764239999999999142e+00
3.252219999999999800e+01 9.958710000000000662e+01 5.162360000000000326e+01 4.448319999999999830e+00 5.984990000000000032e-01 3.046739999999999782e+00 9.441179999999999950e+01 1.375859999999999900e+03 5.198579999999999757e+00 2.858680000000000110e-01 3.960220000000000073e+00 9.444549999999999557e+00
9.342800000000000438e+00 9.709799999999999898e+01 5.161050000000000182e+01 4.149070000000000036e+00 6.048710000000000475e-01 3.075410000000000199e+00 9.713700000000000045e+01 2.800780000000000200e+03 6.244399999999999729e+00 5.277749999999999941e-01 4.756890000000000285e+00 9.819150000000000489e+00
1.732949999999999946e+01 9.910840000000000316e+01 5.162510000000000332e+01 3.492759999999999754e-01 5.994289999999999896e-01 3.030790000000000095e+00 9.784860000000000468e+01 1.983490000000000009e+03 3.397290000000000032e-01 4.267589999999999995e-01 4.570079999999999920e+00 1.113530000000000086e+01
5.434120000000000061e+00 9.944180000000000064e+01 5.159700000000000131e+01 1.196919999999999984e+00 6.113009999999999833e-01 2.989170000000000105e+00 9.764069999999999538e+01 2.590760000000000218e+03 6.166610000000000369e+00 4.771279999999999966e-01 4.760679999999999801e+00 1.044919999999999938e+01
2.188560000000000016e+01 9.966570000000000107e+01 5.164189999999999969e+01 3.252839999999999954e+00 6.001809999999999645e-01 3.018200000000000216e+00 9.890989999999999327e+01 1.592279999999999973e+03 1.129420000000000091e+00 2.654170000000000140e-01 4.248359999999999914e+00 1.043640000000000079e+01
