# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769313486e+308 0 402749 418727 128744 418727
-1.11322953167 -5523799.52569 0.280245154324 396317 419216 173104 476942
-2.12240224222 -2698163.24994 0.908635766499 391573 418705 172732 509864
-3.17895656971 -1391750.05085 0.512278088965 387614 419010 189110 517609
-4.18376391259 -779354.474498 0.313695225375 383718 418490 190801 527768
-5.19597204531 -432934.939635 0.282343223916 380757 418408 208228 531591
-6.1513882471 -255999.318358 0.988436095295 379021 419394 186619 541432
-7.19705210146 -149196.58782 0.483962995197 376626 420117 187027 528638
-8.22433492864 -95898.2599926 0.725028609766 374073 420042 202283 527136
-9.19451241808 -66492.186317 0.832615740075 372424 420164 192510 538137
-10.2141870793 -46888.4821486 0.601758428683 370299 419837 180495 533340
-11.2722567654 -33354.8011127 0.499183482423 367608 418427 192121 521691
-12.2715217272 -24498.647358 0.477389525614 365826 418196 209409 526942
-13.2167055634 -18526.7804465 0.227378609105 363811 418413 195303 540612
-14.2295105364 -13843.1164143 0.720152588311 361707 418709 188965 535092
-15.2581654224 -10413.2862238 0.860704892941 359670 419142 209620 529471
-16.2059899713 -8162.84681259 0.0165263840021 357742 418634 212317 541008
-17.1598205028 -6460.33391609 0.123374097197 355710 419034 214276 545256
-18.1125632051 -5156.69768565 0.114390929306 354210 419363 205961 546677
-19.0955934633 -4152.71923014 0.332658206849 351894 418903 192332 540498
-20.1190108259 -3383.80766089 0.526609492388 350126 418936 198726 531116
-21.1070552703 -2849.30089768 0.479306027123 348182 418735 183842 533112
-22.1521660482 -2421.73733165 0.456481205506 346413 419304 192419 527483
-23.1580868753 -2142.37210252 0.60040822136 343250 419714 193896 533501
-24.1666253605 -1951.3646861 0.62196720897 339045 420051 210358 534373
-25.1184128652 -1825.88269707 0.242369711774 334825 420274 204399 542770
-26.1017922445 -1732.92315466 0.202684188625 329510 420726 202282 542151
-27.0917760846 -1666.09314637 0.662262247439 323558 421100 204254 541083
-28.0734577236 -1619.06717148 0.0655624434445 316291 420927 195733 540764
-29.0849135742 -1583.98460028 0.161493808008 308117 420750 206109 534638
-30.0516777232 -1559.71382812 0.217793662279 299916 420164 207332 540106
-31.0213952684 -1540.72911947 0.151703229408 290473 420366 201550 542532
-32.0144524011 -1525.53798258 0.978439654066 279282 420524 207755 538428
-32.9805107559 -1513.54738628 0.699987362992 269240 420674 202650 541774
-33.9687096808 -1502.53835878 0.157256802474 260401 420413 195716 539276
-34.9782780874 -1491.85904647 0.930445365913 253672 420431 200554 535001
-35.9649723285 -1482.59797384 0.741553831413 248830 420911 193036 538232
-36.9828591979 -1473.97463503 0.695231022927 243384 420456 202771 534923
-37.9616421065 -1466.67470766 0.735110047698 238837 420881 200820 541361
-38.9557450811 -1459.99160294 0.175116571336 234717 421055 175714 540745
-40.0419131892 -1453.23339818 0.706887386217 229467 420862 170707 525509
-41.1275464546 -1447.04936757 0.964882481967 224375 421143 199122 520256
-42.0996886328 -1441.91161382 0.409173457871 220143 422263 162814 536545
-43.2316453194 -1435.10414928 0.179790450071 216364 422580 134019 518169
-44.4641218086 -1423.89187525 0.892818213295 214269 422846 159013 501926
-45.5650977064 -1410.0154166 0.849633644533 211335 422628 197009 509288
-46.5299231314 -1397.57338207 0.268999674005 208991 422259 201854 533632
-47.5102249912 -1384.36327795 0.488786053802 207025 422150 214849 539567
-48.4536104891 -1371.28498604 0.821136409325 204939 422298 183920 548894
-49.5190695372 -1355.55503967 0.528841959802 201770 422367 188264 531411
-50.5454487978 -1340.10261751 0.00157836108154 200226 422726 202510 531736
