#  gamma_0, gamma_1, gamma_2, gamma_3, K_0, T_0, phi_0, ecc_0, omega_0, K_1, T_1, phi_1, ecc_1, omega_1, sigma_0, sigma_1, sigma_2, sigma_3, 
# 
-5.153090000000000259e+01 7.008440000000000225e+00 3.817440000000000055e+03 3.819070000000000164e+03 9.997660000000000480e+01 2.465320000000000164e+03 5.021149999999999558e+00 4.330609999999999737e-01 4.743750000000000355e+00 9.988320000000000221e+01 5.164280000000000115e+01 2.314119999999999955e+00 6.056930000000000369e-01 3.061360000000000081e+00 5.707519999999999705e+00 1.148300000000000054e+01 1.138460000000000072e+01 1.197129999999999939e+01
-5.080769999999999698e+01 1.046899999999999942e+01 3.811320000000000164e+03 3.817659999999999854e+03 9.928610000000000468e+01 2.470250000000000000e+03 4.965239999999999654e+00 4.548110000000000208e-01 4.678139999999999965e+00 9.972990000000000066e+01 5.164390000000000214e+01 2.291679999999999939e+00 6.020140000000000491e-01 3.021370000000000111e+00 4.509179999999999855e-01 1.116380000000000017e+01 1.769620000000000104e+01 1.241150000000000020e+01
-5.391980000000000217e+01 6.127110000000000056e+00 3.816050000000000182e+03 3.817309999999999945e+03 9.983939999999999770e+01 2.426469999999999800e+03 5.421030000000000015e+00 4.159120000000000039e-01 4.759430000000000049e+00 9.992260000000000275e+01 5.164470000000000027e+01 5.218660000000000521e-01 5.949389999999999956e-01 3.062570000000000014e+00 5.945109999999999673e+00 1.053589999999999982e+01 2.371280000000000054e+00 9.556459999999999511e+00
-5.014750000000000085e+01 6.934160000000000323e+00 3.818820000000000164e+03 3.823420000000000073e+03 9.890370000000000061e+01 2.474809999999999945e+03 3.911140000000000061e+00 4.525879999999999903e-01 4.662910000000000110e+00 9.950749999999999318e+01 5.164939999999999998e+01 2.721369999999999845e+00 6.064100000000000046e-01 3.038349999999999884e+00 3.425449999999999884e-01 1.062439999999999962e+01 1.595400000000000063e+01 1.205359999999999943e+01
-5.120380000000000109e+01 5.880250000000000199e+00 3.812019999999999982e+03 3.821159999999999854e+03 9.973890000000000100e+01 2.465440000000000055e+03 5.324340000000000295e+00 4.241550000000000042e-01 4.732969999999999899e+00 9.902169999999999561e+01 5.163689999999999714e+01 5.966459999999999653e+00 6.052330000000000210e-01 3.046520000000000117e+00 5.220799999999999663e+00 1.023850000000000016e+01 1.548359999999999914e+01 1.124409999999999954e+01
-5.319619999999999749e+01 3.886929999999999996e+00 3.810550000000000182e+03 3.821570000000000164e+03 9.974049999999999727e+01 2.457969999999999800e+03 5.146069999999999922e+00 4.190099999999999936e-01 4.779270000000000351e+00 9.935410000000000252e+01 5.163470000000000226e+01 5.572390000000000398e+00 6.017289999999999583e-01 3.057049999999999823e+00 5.100340000000000096e+00 1.124569999999999936e+01 1.236050000000000004e+01 1.091070000000000029e+01
-4.666850000000000165e+01 1.102420000000000044e+01 3.812449999999999818e+03 3.821780000000000200e+03 9.851380000000000337e+01 2.516300000000000182e+03 6.107179999999999609e+00 4.769390000000000018e-01 4.611379999999999590e+00 9.970569999999999311e+01 5.164260000000000161e+01 1.409070000000000045e+00 5.997489999999999766e-01 3.060340000000000060e+00 1.123309999999999934e-02 1.055509999999999948e+01 1.671910000000000096e+01 8.291570000000000107e+00
-5.535640000000000072e+01 3.916679999999999939e+00 3.807690000000000055e+03 3.819179999999999836e+03 9.997180000000000177e+01 5.164200000000000301e+01 4.057599999999999874e+00 6.130189999999999806e-01 3.040529999999999955e+00 9.990510000000000446e+01 2.433840000000000146e+03 5.841829999999999856e+00 4.180699999999999972e-01 4.748809999999999754e+00 4.228259999999999685e+00 8.785339999999999705e+00 1.673389999999999844e+01 9.135590000000000543e+00
-4.802159999999999940e+01 1.113889999999999958e+01 3.809039999999999964e+03 3.817960000000000036e+03 9.925740000000000407e+01 2.460420000000000073e+03 5.182470000000000354e+00 4.507990000000000053e-01 4.610990000000000144e+00 9.999110000000000298e+01 5.163470000000000226e+01 5.543339999999999712e+00 5.966869999999999674e-01 3.030419999999999892e+00 1.499370000000000092e+00 1.071889999999999965e+01 1.490700000000000003e+01 8.534950000000000259e+00
-5.158619999999999806e+01 8.381479999999999819e+00 3.815130000000000109e+03 3.815650000000000091e+03 9.829120000000000346e+01 2.431260000000000218e+03 5.408409999999999940e+00 4.339589999999999836e-01 4.684999999999999609e+00 9.959430000000000405e+01 5.164139999999999731e+01 5.181909999999999572e-01 6.125570000000000181e-01 3.031950000000000145e+00 3.147139999999999826e+00 9.234019999999999229e+00 1.245090000000000074e+01 1.067880000000000074e+01
