#  gamma_0, K, T, phi, ecc, omega, sigma_0, 
# 
4.029019999999999868e+01 8.814780000000000371e+01 8.428060000000000400e+02 5.399440000000000239e+00 7.022490000000000121e-01 3.879879999999999995e+00 6.220389999999999731e+01
4.887400000000000233e+01 7.399290000000000589e+01 5.143410000000000082e+02 5.797630000000000283e-01 3.714250000000000052e-01 2.525760000000000005e+00 5.056569999999999965e+01
5.115820000000000078e+01 6.976260000000000616e+01 9.122740000000000009e+02 3.807150000000000034e+00 4.696930000000000271e-01 3.273219999999999796e+00 5.840189999999999770e+01
4.574360000000000070e+01 9.037359999999999616e+01 5.124089999999999918e+02 1.035260000000000069e+00 5.539789999999999992e-01 1.798610000000000042e+00 5.292410000000000281e+01
5.332289999999999708e+01 8.872440000000000282e+01 9.860099999999999909e+02 4.293000000000000149e+00 5.903279999999999639e-01 4.230789999999999829e+00 6.185860000000000269e+01
4.060159999999999769e+01 5.552680000000000149e+01 9.833569999999999709e+02 5.443520000000000358e+00 3.074180000000000246e-01 4.216859999999999609e+00 6.106770000000000209e+01
4.953679999999999950e+01 8.533679999999999666e+01 9.681119999999999663e+02 4.929599999999999760e+00 5.187680000000000069e-01 2.777540000000000120e+00 5.462279999999999802e+01
4.825200000000000244e+01 9.780209999999999582e+01 9.321280000000000427e+02 5.771189999999999820e+00 4.163870000000000071e-01 3.201639999999999819e+00 5.659389999999999787e+01
4.833970000000000056e+01 8.499269999999999925e+01 5.266470000000000482e+02 3.026089999999999947e+00 3.240169999999999995e-01 3.087969999999999882e+00 4.912720000000000198e+01
5.611569999999999681e+01 8.721790000000000020e+01 9.685739999999999554e+02 5.697070000000000078e+00 5.109909999999999730e-01 3.842670000000000030e+00 5.940390000000000015e+01
4.833630000000000138e+01 8.136960000000000548e+01 9.830019999999999527e+02 7.307620000000000227e-01 3.779970000000000274e-01 3.554260000000000197e+00 5.113360000000000127e+01
3.981419999999999959e+01 9.480400000000000205e+01 9.444769999999999754e+02 2.332489999999999952e+00 4.390160000000000173e-01 3.060039999999999871e+00 5.727689999999999770e+01
5.115820000000000078e+01 6.976260000000000616e+01 9.122740000000000009e+02 3.807150000000000034e+00 4.696930000000000271e-01 3.273219999999999796e+00 5.840189999999999770e+01
4.386280000000000001e+01 8.626309999999999434e+01 9.090529999999999973e+02 6.220080000000000275e+00 5.883110000000000284e-01 3.892339999999999911e+00 6.319950000000000045e+01
4.746179999999999666e+01 9.169060000000000343e+01 9.801190000000000282e+02 4.631949999999999790e+00 6.950119999999999632e-01 3.708660000000000068e+00 5.909449999999999648e+01
2.792320000000000135e+01 7.839780000000000371e+01 4.720400000000000205e+02 3.009759999999999991e+00 1.149410000000000015e-01 3.071450000000000014e+00 5.818619999999999948e+01
4.217880000000000251e+01 7.399120000000000630e+01 4.966840000000000259e+02 3.190249999999999808e+00 4.271739999999999982e-01 2.368320000000000203e+00 5.272959999999999781e+01
4.029019999999999868e+01 8.814780000000000371e+01 8.428060000000000400e+02 5.399440000000000239e+00 7.022490000000000121e-01 3.879879999999999995e+00 6.220389999999999731e+01
3.704079999999999728e+01 7.378950000000000387e+01 5.066000000000000227e+02 1.426619999999999999e+00 3.139859999999999873e-01 2.101210000000000022e+00 5.219140000000000157e+01
5.356179999999999808e+01 6.271759999999999735e+01 5.291699999999999591e+02 4.916140000000000398e+00 2.850630000000000108e-01 2.312479999999999869e+00 5.949459999999999837e+01
4.639959999999999951e+01 5.516499999999999915e+01 9.812849999999999682e+02 5.101239999999999775e+00 3.661499999999999755e-01 3.282900000000000151e+00 5.601870000000000260e+01
4.873230000000000217e+01 8.923269999999999413e+01 9.425049999999999955e+02 5.316679999999999851e+00 3.547500000000000098e-01 3.729190000000000005e+00 4.957019999999999982e+01
3.481159999999999854e+01 8.142329999999999757e+01 4.988729999999999905e+02 6.278529999999999944e+00 2.123599999999999932e-01 3.569049999999999834e+00 5.740950000000000131e+01
4.732849999999999824e+01 8.458299999999999841e+01 9.290620000000000118e+02 1.501649999999999929e+00 4.057180000000000231e-01 3.319310000000000205e+00 6.076769999999999783e+01
5.314249999999999829e+01 6.104610000000000269e+01 4.937989999999999782e+02 3.128060000000000063e+00 2.341739999999999933e-01 2.905409999999999826e+00 6.434250000000000114e+01
5.278399999999999892e+01 8.831419999999999959e+01 5.110889999999999986e+02 5.051750000000000185e+00 6.731740000000000501e-01 1.598209999999999908e+00 5.526740000000000208e+01
3.554140000000000299e+01 7.442040000000000077e+01 5.197680000000000291e+02 5.250099999999999767e+00 7.721820000000000073e-02 2.919639999999999791e+00 6.756999999999999318e+01
4.414789999999999992e+01 5.558520000000000039e+01 9.281950000000000500e+02 5.008140000000000036e+00 1.682939999999999992e-01 3.092839999999999812e+00 6.195810000000000173e+01
3.628479999999999706e+01 7.389109999999999445e+01 9.874059999999999491e+02 1.103429999999999911e+00 3.852720000000000034e-01 3.942039999999999988e+00 5.509980000000000189e+01
5.233310000000000173e+01 8.999169999999999447e+01 9.362849999999999682e+02 3.984109999999999818e+00 4.169550000000000201e-01 3.066530000000000200e+00 5.363089999999999691e+01
6.011820000000000164e+01 6.978749999999999432e+01 9.912509999999999764e+02 4.084089999999999943e-02 4.733780000000000210e-01 2.961650000000000116e+00 6.228770000000000095e+01
4.153770000000000095e+01 7.772929999999999495e+01 5.058419999999999845e+02 6.202630000000000088e+00 1.668880000000000086e-01 2.015039999999999942e+00 6.096359999999999957e+01
3.754279999999999973e+01 9.119989999999999952e+01 9.830370000000000346e+02 1.082999999999999963e+00 5.273759999999999559e-01 3.630259999999999820e+00 5.466519999999999868e+01
3.541299999999999670e+01 9.398109999999999786e+01 5.083609999999999900e+02 5.725760000000000183e+00 3.642070000000000030e-01 2.918070000000000164e+00 5.997449999999999903e+01
4.094680000000000319e+01 7.896380000000000621e+01 5.131860000000000355e+02 2.151600000000000179e+00 3.360580000000000234e-01 2.482429999999999914e+00 5.963960000000000150e+01
4.934740000000000038e+01 9.688309999999999889e+01 9.796530000000000200e+02 3.237509999999999888e+00 6.861099999999999977e-01 3.865660000000000096e+00 5.509550000000000125e+01
5.030939999999999657e+01 4.948230000000000217e+01 5.162380000000000564e+02 2.757600000000000051e+00 1.283779999999999921e-01 3.699079999999999924e+00 6.913110000000000355e+01
3.891989999999999839e+01 9.359709999999999752e+01 4.995729999999999791e+02 6.175180000000000113e+00 3.666249999999999787e-01 2.993090000000000028e+00 5.703710000000000235e+01
4.833740000000000236e+01 8.451380000000000337e+01 5.084270000000000209e+02 3.624899999999999789e+00 3.235219999999999763e-01 2.500239999999999796e+00 5.973389999999999844e+01
4.053269999999999840e+01 7.532179999999999609e+01 9.804279999999999973e+02 3.748969999999999914e+00 3.243920000000000137e-01 3.314900000000000180e+00 5.485620000000000118e+01
